uuid_collectionneur;uuid_collection;statut_notice;titre_collection;activite_personne
2ebcd285-83ff-4cf0-bc67-929e72c9f289;a626aacb-1f3d-42cc-876d-17703f26ab76;Publiée;Collection Worch;collectionneur
cdda2455-a2ff-491e-9782-b670cf297196;a626aacb-1f3d-42cc-876d-17703f26ab76;Publiée;Collection Worch;collectionneur
85714db4-ce76-40d6-ac01-5acc0bef4793;1f0e9eb1-d18c-4856-bfa8-477d4f2506af;Publiée;Collection de Eugène Emmanuel Viollet-le-Duc;collectionneur
0e1ca895-cd2a-4250-9b80-b243133fc432;4ea2bc4a-3de5-4bcd-a702-931fbca9a219;Publiée;Collection de Henri d’Orléans;collecteur
17322773-088c-4a07-bee9-f5c711e08001;19658086-9638-4741-8535-a9e73fbcb7ce;Publiée;Collection de Lotus de Païni;collectionneur
142887c2-2e7e-418d-a566-eb17f576b39b;7bc75ba8-82f7-46e5-8c1a-5bb815f1ed3f;Publiée;Collection de Léon de Rosny;collectionneur
d0bc017b-5c73-46e0-9383-c975663bf463;1d3413c9-9258-4040-bdad-9c28829f5100;Publiée;Collection d'Auguste Rodin;collectionneur
85da9f6d-dbb5-4fc9-b665-200ba9d9285f;74e82e65-7163-469c-8bdc-7986ccc04ea2;Publiée;Collection de Sylvain Lévi;collectionneur
9f72fa8b-8925-432a-aa4e-9ef407d496e2;535c771f-3888-4f13-a829-c8c890a89a93;Publiée;Collection de Henri Cernuschi;collectionneur
cda24bd4-97a1-4cac-953e-a9951c2f3d93;f2150251-08a6-4891-b388-4d85c4aebf1f;Publiée;Collection de Théogène-François Page;collectionneur
abd8aef2-8c50-4882-b063-f5567ee5802e;b92a19d0-8159-46a7-8540-4e41b4a58215;Publiée;Collection de Jacques Tasset;collectionneur
79a7dc56-be98-40df-84c8-9f5a6b272c1e;dd69d422-ca08-4ce7-b90d-e0f9507ed2ee;Publiée;Collection de Joseph Mioche de Coheix;collectionneur
b4004e9c-2a22-444e-b229-2b011e7d14b1;af12fbdd-565d-4a2d-9e3e-616baf6bf84b;Publiée;Collection de François-Philibert Marquis;collectionneur
429df17d-6bbf-4377-a267-306fe7cb4323;04a6703c-ba5e-4be3-b572-a1c0fc74aea6;Publiée;Collection de Louis Delaporte;collectionneur
b994601a-9b81-48cb-bc69-3d54ee7ffd1c;ea79df52-766f-4a7e-ab1f-3848a93a00ce;Publiée;Collection d'Étienne Aymonier;
813f8690-ba5f-47cd-b4ac-eb68e0b783d8;21fed028-9054-434a-9ca4-801e08f14e43;Publiée;Collection de Jules Adeline;
1fcd843f-43a6-471a-a1ff-be341baa4cde;51b0f300-5a64-4831-b5e7-22f02fc9f372;Publiée;Collection d'Anatole Billequin;collecteur
d5437260-a76d-48b1-bb31-97af3999c282;6107e0f9-2049-44b2-83d9-a24d10333b5c;Publiée;Collection de Maurice Pierrat;collectionneur
d719af6d-8b7a-4713-adba-5e3746d0f6d6;27407aa5-a783-4abf-8155-43772a160895;Publiée;Collection de P. E. Milhe;
76318b15-fff2-45b4-8d27-4189cf39a9b8;915234cb-4efa-44a6-b6aa-ed44861aa07f;Publiée;Collection d'Alexandra David-Neel;collecteur,collectionneur
